age,Salary (in €),sexe,is_pregnant,is_parent,weight (in Kg),height (in Cm),is_normal
93,34496,1,0,1,65,179,1
18,17125,1,0,0,75,190,1
91,14367,0,1,0,88,199,1
94,9003,1,0,1,79,181,1
85,13725,1,0,1,67,189,1
40,23831,0,1,1,74,189,1
72,6325,1,0,0,66,183,1
6,0,1,0,0,33,115,1
70,24233,0,0,0,82,190,1
93,18254,1,0,0,80,187,1
71,1041,1,0,1,63,178,1
12,0,0,0,0,44,134,1
79,7250,0,1,1,69,191,1
10,0,0,0,0,51,144,1
29,33606,0,0,1,82,188,1
96,24838,1,0,0,97,197,1
93,9383,0,0,0,84,195,1
82,11089,1,0,1,66,181,1
32,26897,0,0,0,69,189,1
67,7892,0,1,0,76,178,1
7,0,0,1,0,26,108,1
50,32705,0,1,1,70,177,1
50,19172,1,0,1,81,190,1
98,5517,0,0,0,73,180,1
17,25545,1,0,1,56,165,1
91,39188,0,1,0,89,195,1
41,1046,0,1,1,67,188,1
56,31335,0,1,1,78,182,1
42,156,0,0,0,77,176,1
18,19616,1,0,1,66,185,1
19,35099,1,0,0,62,175,1
66,7460,0,0,1,97,197,1
29,6308,0,1,0,80,189,1
33,23766,1,0,0,69,177,1
96,1154,1,0,1,79,199,1
24,6088,0,1,0,75,198,1
88,33811,0,0,0,82,197,1
72,20215,0,0,0,79,198,1
73,14150,1,0,0,65,176,1
31,6159,0,0,1,79,181,1
54,23230,0,1,0,76,175,1
0,0,1,0,0,7,57,1
16,39937,0,0,1,57,171,1
27,28064,1,0,1,75,191,1
1,0,1,0,0,16,84,1
96,3496,0,1,0,69,183,1
7,0,0,1,0,22,108,1
37,22333,0,1,1,78,196,1
50,28602,0,1,0,70,191,1
5,0,1,0,0,26,109,1
34,19128,0,1,1,84,197,1
11,0,1,0,0,48,141,1
37,19551,1,0,1,58,177,1
39,34721,1,0,1,84,194,1
1,0,0,1,0,11,74,1
82,11,0,0,0,76,181,1
55,37018,1,0,1,68,183,1
44,13375,1,0,0,75,192,1
87,16527,1,0,1,79,182,1
1,0,0,1,0,12,75,1
30,26033,0,0,0,65,185,1
14,0,1,0,0,44,140,1
72,21831,1,0,0,71,194,1
68,227,1,0,1,99,199,1
38,681,0,0,1,75,187,1
5,0,1,0,0,21,101,1
82,11448,0,1,1,81,183,1
16,30738,0,1,1,55,170,1
47,18551,1,0,1,70,182,1
31,34711,1,0,0,79,191,1
70,28641,1,0,0,75,191,1
17,6630,0,0,0,65,168,1
18,15854,0,0,1,89,194,1
18,30,1,0,0,81,187,1
94,282,0,1,0,81,189,1
44,26952,0,0,0,87,188,1
74,18515,0,1,0,82,182,1
20,5655,0,0,0,72,196,1
26,4198,1,0,1,86,190,1
21,23212,1,0,1,92,192,1
15,0,1,0,0,67,167,1
19,28822,1,0,1,83,190,1
13,0,0,1,0,44,138,1
46,39353,0,1,0,93,196,1
77,617,1,0,0,69,186,1
99,22021,0,0,0,77,183,1
74,24506,1,0,1,71,180,1
35,30240,1,0,1,85,199,1
12,0,1,0,0,42,138,1
81,14950,0,1,0,73,193,1
83,2698,0,0,0,97,199,1
12,0,0,0,0,37,138,1
2,0,1,0,0,20,90,1
6,0,1,0,0,28,112,1
48,7093,0,0,0,83,184,1
7,0,1,0,0,25,114,1
41,10627,1,0,1,74,176,1
66,30612,1,0,0,89,198,1
5,0,0,1,0,31,113,1
31,761,1,0,0,78,188,1
2,0,0,1,0,21,95,1
34,27946,1,0,0,79,180,1
58,94,1,0,0,66,187,1
26,6765,1,0,0,83,189,1
4,0,1,0,0,27,112,1
52,35055,1,0,1,91,196,1
28,26997,0,0,1,74,190,1
24,1885,1,0,1,96,197,1
91,20517,0,0,0,81,187,1
97,31052,0,0,0,77,199,1
46,37730,1,0,0,91,196,1
51,3379,1,0,0,90,196,1
80,14483,0,0,0,71,179,1
83,19336,0,1,0,74,199,1
30,7775,0,1,1,70,184,1
54,141,1,0,1,66,188,1
49,10745,0,0,1,72,177,1
93,18912,0,1,0,72,179,1
77,22007,0,1,0,72,185,1
19,7849,0,0,1,74,180,1
40,25152,1,0,0,72,180,1
65,33831,1,0,0,71,176,1
50,1694,0,0,1,70,188,1
46,5408,0,0,0,70,185,1
90,39205,0,1,0,81,195,1
0,0,1,0,0,14,75,1
19,20853,0,0,0,90,193,1
14,0,0,1,0,38,134,1
78,22549,0,1,0,62,175,1
46,26072,0,1,1,71,192,1
467,31896,1,0,0,87,192,0
8,0,0,0,0,32,124,1
65,15365,1,0,0,81,199,1
8,0,0,0,0,33,127,1
5,0,1,0,0,24,102,1
71,7916,1,0,1,78,186,1
20,39174,1,0,0,80,186,1
94,26468,1,0,1,79,187,1
60,38466,0,0,0,88,199,1
463,26686,1,0,1,79,180,0
8,0,1,0,0,39,131,1
12,0,1,0,0,40,143,1
29,8792,1,0,0,63,181,1
60,17415,0,0,0,63,180,1
56,28572,0,1,1,84,190,1
0,0,1,0,0,15,79,1
2,0,0,1,0,21,94,1
17,14992,1,0,1,58,163,1
33,17631,0,1,1,87,199,1
48,4058,0,1,0,75,192,1
55,33840,1,0,1,78,188,1
87,26394,0,1,1,81,192,1
13,0,0,1,0,41,133,1
46,28739,0,0,0,73,192,1
35,35523,0,0,0,62,180,1
75,14690,1,0,1,84,194,1
3,0,1,0,0,24,98,1
39,34863,0,1,1,75,178,1
92,4339,1,0,0,86,188,1
67,25123,1,0,1,78,187,1
27,28399,1,0,0,90,192,1
9,0,0,1,0,38,131,1
90,14057,0,1,0,89,190,1
46,35053,1,0,0,89,197,1
60,25814,1,0,0,59,175,1
63,18326,0,0,1,92,195,1
2,0,1,0,0,19,88,1
87,39008,0,0,0,68,190,1
1,0,0,1,0,7,56,1
90,17181,1,0,1,73,180,1
35,17764,0,1,0,73,185,1
17,32794,1,0,1,62,170,1
21,35393,0,1,1,70,186,1
25,28828,1,0,1,66,181,1
20,14603,1,0,0,61,180,1
32,1448,0,1,0,85,191,1
49,10119,0,1,0,92,198,1
86,21472,0,1,0,77,187,1
76,12331,1,0,0,85,185,1
7,0,1,0,0,21,105,1
66,21758,1,0,1,61,181,1
15,0,1,0,0,58,172,1
0,0,0,0,0,14,79,1
66,14545,1,0,0,82,187,1
11,0,0,0,0,39,132,1
226,28364,1,0,1,80,185,0
44,421,0,1,0,68,184,1
94,33774,0,0,1,84,189,1
6,0,1,0,0,30,119,1
10,0,0,1,0,46,139,1
78,30786,1,0,1,87,195,1
51,37439,1,0,1,82,198,1
53,24675,0,1,0,86,190,1
87,9172,1,0,1,60,177,1
63,6743,0,0,0,95,198,1
49,20378,1,0,1,76,188,1
82,23645,0,0,0,76,179,1
34,37027,0,0,0,68,188,1
76,25344,0,1,0,74,195,1
44,36785,1,0,1,62,176,1
20,8222,1,0,0,76,179,1
5,0,1,0,0,26,117,1
65,20795,1,0,0,91,192,1
2,0,1,0,0,15,87,1
100,3639,0,0,0,80,192,1
95,2802,0,0,1,72,179,1
22,1375,0,1,0,91,191,1
48,21815,1,0,1,73,186,1
65,1686,0,0,0,84,195,1
89,27808,1,0,0,76,182,1
74,32133,0,1,1,88,191,1
74,32420,1,0,0,96,197,1
98,32029,0,0,1,71,186,1
4,0,1,0,0,32,114,1
16,25972,1,0,1,59,164,1
81,7236,1,0,1,62,177,1
445,14958,0,1,1,62,181,0
13,0,1,0,0,43,137,1
27,6196,1,0,1,75,176,1
77,15491,1,0,0,73,175,1
29,21826,1,0,0,63,184,1
78,12191,0,1,1,76,185,1
96,9405,1,0,1,97,197,1
94,23980,1,0,1,74,180,1
53,3210,1,0,1,78,185,1
93,24938,1,0,1,74,183,1
76,37904,1,0,0,64,181,1
8,0,1,0,0,36,121,1
25,14091,1,0,0,70,179,1
28,14611,0,1,0,71,192,1
2,0,0,1,0,16,85,1
17,14819,0,1,1,65,173,1
52,3537,1,0,1,71,181,1
30,13547,0,0,1,81,184,1
33,24410,0,1,0,83,198,1
48,37465,0,0,1,78,177,1
41,15172,0,0,1,67,175,1
28,33576,0,0,0,78,194,1
97,9529,0,0,1,82,197,1
72,1088,0,0,1,95,195,1
27,17789,1,0,0,80,180,1
66,2152,1,0,1,77,194,1
25,33341,0,0,0,78,197,1
79,26238,1,0,0,77,190,1
62,24925,0,1,1,76,189,1
24,4210,1,0,0,85,195,1
241,27922,0,1,0,93,193,0
314,0,0,1,0,36,138,0
74,34590,1,0,1,70,177,1
95,25326,0,1,1,84,192,1
73,4788,0,0,0,67,185,1
87,22876,0,0,0,73,194,1
99,10417,0,0,0,57,175,1
45,24713,0,0,1,72,189,1
16,2754,1,0,0,73,174,1
100,18346,0,0,1,91,197,1
14,0,1,0,0,38,132,1
15,0,0,1,0,65,170,1
54,5211,0,1,0,84,191,1
5,0,0,1,0,28,119,1
1,0,1,0,0,6,52,1
24,27209,1,0,0,80,181,1
16,36428,0,0,1,61,170,1
29,35629,0,1,0,93,197,1
70,26825,1,0,1,67,187,1
32,28931,1,0,0,66,183,1
74,1080,0,0,1,76,194,1
86,5745,0,0,1,79,190,1
89,21085,0,0,0,86,188,1
85,35944,1,0,0,80,197,1
41,24897,1,0,1,70,182,1
84,31379,0,1,1,92,196,1
70,19702,1,0,1,74,187,1
38,18148,0,0,1,81,189,1
90,8785,0,1,0,69,179,1
32,26240,0,0,1,84,193,1
52,14263,0,0,0,65,179,1
39,33572,1,0,1,81,181,1
7,0,1,0,0,26,107,1
41,6563,1,0,0,82,197,1
18,33907,1,0,0,70,184,1
62,26152,0,0,1,92,195,1
8,0,1,0,0,37,124,1
10,0,1,0,0,46,144,1
51,3965,1,0,0,75,188,1
50,19055,1,0,1,79,194,1
40,14619,0,0,0,66,177,1
13,0,1,0,0,42,139,1
77,24756,1,0,0,86,195,1
87,7228,1,0,1,76,188,1
5,0,1,0,0,24,109,1
18,1043,1,0,0,77,185,1
77,35225,0,1,1,83,191,1
47,6092,0,1,0,82,182,1
0,0,0,0,0,16,80,1
64,32916,0,0,1,88,192,1
85,32956,0,0,0,89,192,1
54,624,1,0,0,77,185,1
10,0,1,0,0,44,140,1
43,29500,1,0,1,66,181,1
60,7783,1,0,1,68,175,1
41,10977,0,1,1,78,178,1
8,0,1,0,0,28,120,1
29,11975,0,1,1,70,178,1
36,35090,1,0,0,63,180,1
85,8415,1,0,1,71,194,1
85,14986,0,1,0,74,188,1
96,30445,0,0,0,93,198,1
3,0,1,0,0,18,94,1
85,30267,0,1,1,92,195,1
18,14780,1,0,1,75,185,1
11,0,0,1,0,35,132,1
91,23824,0,0,1,90,199,1
39,8015,1,0,0,61,180,1
24,39423,0,1,1,72,197,1
30,15698,1,0,0,62,178,1
53,8784,1,0,1,81,192,1
43,27433,0,1,1,83,184,1
5,0,0,1,0,25,105,1
91,15992,1,0,1,73,176,1
42,23646,1,0,1,72,178,1
69,24913,1,0,0,84,195,1
13,0,1,0,0,42,144,1
7,0,1,0,0,22,100,1
58,28570,1,0,0,60,180,1
92,19049,0,1,0,71,182,1
54,30684,0,0,1,73,191,1
48,8968,0,0,1,60,176,1
13,0,1,0,0,39,137,1
71,19222,1,0,1,64,178,1
59,19667,0,1,1,78,198,1
27,38404,1,0,0,92,193,1
29,22940,1,0,0,87,189,1
71,9716,1,0,0,62,179,1
71,20499,1,0,1,70,178,1
35,31699,1,0,0,73,198,1
38,10251,1,0,0,66,181,1
68,11874,1,0,1,77,199,1
14,0,1,0,0,39,141,1
29,18867,0,0,0,71,182,1
318,32779,1,0,1,69,187,0
22,29658,1,0,0,66,187,1
5,0,0,1,0,21,103,1
0,0,1,0,0,9,61,1
91,29742,0,1,0,67,176,1
34,17823,0,1,1,92,198,1
76,15323,0,1,0,79,198,1
34,16950,1,0,0,82,191,1
67,16875,1,0,1,94,195,1
73,19099,0,1,0,90,199,1
28,18937,1,0,0,75,195,1
26,4922,0,1,1,65,187,1
45,32658,1,0,1,86,197,1
48,28493,0,0,0,72,179,1
86,31572,1,0,1,81,189,1
85,34559,0,1,0,68,178,1
7,0,0,0,0,29,112,1
0,0,1,0,0,9,62,1
38,19998,1,0,0,77,177,1
96,31822,0,1,1,78,196,1
1,0,0,0,0,10,68,1
54,15428,0,1,1,83,199,1
30,28481,1,0,0,89,194,1
57,1724,0,0,0,67,190,1
54,39512,0,1,0,81,186,1
56,752,1,0,0,66,178,1
76,2629,0,1,1,81,181,1
66,36146,0,1,1,70,186,1
68,35777,0,0,1,90,197,1
15,0,1,0,0,73,172,1
31,25093,0,0,0,90,198,1
69,23240,1,0,0,77,183,1
16,27805,0,0,1,62,173,1
29,18729,1,0,0,80,192,1
59,2861,1,0,1,58,177,1
68,38443,1,0,0,83,188,1
62,14917,0,1,1,76,179,1
72,31491,0,1,1,73,179,1
65,25412,0,1,0,91,193,1
82,13645,1,0,1,81,188,1
97,1011,1,0,1,59,175,1
34,19213,0,1,1,71,190,1
93,2491,0,0,1,66,180,1
88,31341,0,0,1,68,191,1
95,11561,0,0,0,78,199,1
64,19615,0,0,1,79,184,1
43,37879,0,1,1,76,195,1
7,0,0,0,0,27,119,1
32,1348,1,0,1,73,182,1
83,7178,0,1,0,59,176,1
96,26559,1,0,1,64,184,1
49,24047,1,0,1,91,193,1
98,5366,1,0,1,79,185,1
35,11121,1,0,1,73,198,1
11,0,0,0,0,36,137,1
44,16964,0,1,1,81,196,1
24,38526,1,0,1,91,197,1
42,7406,0,1,1,78,183,1
96,24553,0,0,1,73,192,1
4,0,0,0,0,25,111,1
29,29262,1,0,1,79,178,1
70,17581,0,1,0,65,186,1
21,15921,0,1,1,78,196,1
68,9335,0,1,1,60,176,1
71,11704,0,1,1,80,187,1
14,0,0,1,0,44,144,1
19,27032,0,1,0,90,197,1
6,0,0,1,0,27,106,1
76,4571,1,0,1,85,195,1
83,14666,0,1,0,78,189,1
52,32148,1,0,1,66,180,1
55,9122,1,0,0,89,199,1
37,37365,0,0,0,66,176,1
40,34986,1,0,1,83,188,1
37,38745,0,1,1,63,175,1
44,35740,0,1,1,65,180,1
3,0,0,0,0,17,94,1
65,6493,0,0,1,76,183,1
93,893,0,0,0,59,178,1
60,9930,0,0,1,70,177,1
85,36361,0,0,0,82,182,1
93,6474,0,1,0,71,183,1
53,28535,0,1,1,65,181,1
19,11818,1,0,1,66,182,1
11,0,0,0,0,41,132,1
47,6930,1,0,0,81,181,1
23,12272,1,0,0,80,184,1
49,21845,0,0,0,68,188,1
3,0,0,0,0,18,85,1
35,11827,0,0,0,89,190,1
55,3545,0,0,1,81,199,1
47,8899,1,0,0,73,190,1
48,22613,0,0,0,71,180,1
31,25896,1,0,0,72,180,1
98,26754,0,1,0,80,199,1
38,11837,1,0,0,60,178,1
71,26246,0,0,1,65,177,1
3,0,0,0,0,19,90,1
9,0,0,0,0,34,124,1
69,33321,1,0,0,68,176,1
41,5149,0,0,1,78,199,1
100,31286,0,0,0,86,195,1
55,6954,0,0,0,81,198,1
71,6099,0,0,1,76,184,1
76,30648,1,0,1,84,184,1
72,8191,1,0,0,68,185,1
63,28677,1,0,0,81,186,1
10,0,0,0,0,34,132,1
29,37160,0,0,1,63,177,1
30,779,0,1,0,70,177,1
21,21820,1,0,0,69,188,1
77,23455,0,0,0,73,185,1
80,22459,1,0,0,72,184,1
22,13392,1,0,1,82,197,1
16,1279,1,0,0,58,164,1
30,20934,1,0,0,82,187,1
51,34083,1,0,1,78,182,1
8,0,1,0,0,36,130,1
5,0,1,0,0,21,100,1
19,3852,1,0,0,97,197,1
2,0,0,0,0,23,99,1
87,31984,1,0,1,89,196,1
24,2543,0,0,0,81,190,1
48,31059,1,0,0,63,181,1
97,24581,0,0,1,70,176,1
68,10360,0,1,0,80,195,1
49,6031,1,0,0,79,184,1
18,27554,1,0,1,88,193,1
77,14945,0,1,0,69,189,1
17,28533,0,0,0,66,171,1
37,23419,1,0,1,79,195,1
52,19560,1,0,0,80,194,1
8,0,1,0,0,34,130,1
81,12597,1,0,0,84,195,1
71,32246,0,0,0,72,182,1
45,39412,0,0,1,74,177,1
14,0,1,0,0,43,139,1
17,12061,0,0,1,63,169,1
96,33015,1,0,0,87,199,1
92,32861,1,0,1,73,177,1
47,38990,0,0,1,66,179,1
92,21756,1,0,1,79,188,1
79,734,1,0,0,69,192,1
1,0,0,1,0,7,57,1
28,9453,1,0,1,64,179,1
0,0,1,0,0,8,57,1
56,24996,0,0,1,70,180,1
42,32382,1,0,0,82,194,1
33,9222,1,0,0,68,180,1
52,37102,1,0,0,71,184,1
50,909,1,0,0,69,179,1
48,6540,0,1,0,61,180,1
36,4999,0,1,1,74,183,1
38,1374,1,0,1,71,195,1
52,22490,0,1,0,62,180,1
86,13997,1,0,0,78,182,1
77,39890,0,0,1,96,199,1
23,14396,0,1,1,86,193,1
71,17717,0,1,0,83,197,1
78,24911,1,0,0,76,198,1
19,8659,1,0,1,73,195,1
25,301,1,0,0,70,184,1
7,0,0,0,0,28,117,1
3,0,1,0,0,16,85,1
26,29925,0,0,0,81,185,1
14,0,1,0,0,40,135,1
56,25124,0,1,1,90,199,1
71,25184,0,1,1,65,186,1
82,29566,0,1,0,89,197,1
68,32135,0,1,0,60,176,1
11,0,1,0,0,37,132,1
36,11887,1,0,0,70,193,1
68,29839,1,0,1,69,176,1
54,39397,1,0,0,77,192,1
73,14895,0,1,0,81,189,1
221,8003,0,0,0,56,169,0
79,5275,0,0,0,79,183,1
32,10919,1,0,0,76,186,1
14,0,1,0,0,47,143,1
70,10755,1,0,0,69,178,1
70,28169,1,0,1,71,182,1
2,0,0,0,0,14,86,1
84,25842,1,0,0,63,177,1
14,0,0,0,0,42,136,1
42,16969,1,0,0,73,184,1
10,0,0,1,0,37,138,1
79,5709,0,1,1,83,184,1
16,27573,1,0,1,69,170,1
28,9281,0,1,0,72,189,1
100,12824,1,0,0,71,182,1
5,0,0,0,0,23,103,1
91,13500,0,0,0,74,192,1
87,29672,1,0,0,73,191,1
51,14448,1,0,0,70,186,1
20,19082,0,1,1,75,178,1
56,26880,0,1,0,73,183,1
90,31736,1,0,0,74,199,1
24,30417,1,0,1,73,182,1
31,21672,1,0,1,60,175,1
58,29541,0,1,0,66,181,1
64,27967,1,0,1,86,192,1
84,12546,1,0,1,75,190,1
55,26509,1,0,1,77,190,1
54,2684,1,0,1,74,175,1
63,33516,0,0,1,72,177,1
60,11004,1,0,0,67,180,1
66,26130,0,1,1,77,183,1
63,981,1,0,1,63,176,1
1,0,0,0,0,7,54,1
38,35429,0,1,1,87,193,1
91,1896,1,0,0,84,191,1
26,33156,0,0,0,73,187,1
23,16425,0,1,1,70,193,1
96,35284,0,0,0,71,178,1
2,0,0,1,0,17,86,1
82,37514,1,0,0,60,176,1
97,18314,0,1,1,74,192,1
76,10339,0,0,1,68,185,1
8,0,0,1,0,31,124,1
72,37127,1,0,1,83,187,1
38,33541,1,0,1,75,186,1
64,15294,1,0,0,72,182,1
13,0,1,0,0,37,137,1
81,37974,0,0,0,66,182,1
25,24786,1,0,0,72,191,1
82,37470,0,1,1,71,180,1
89,994,0,1,1,66,177,1
0,0,0,1,0,12,76,1
12,0,0,1,0,36,134,1
73,39313,0,1,1,88,199,1
48,22419,0,1,1,72,193,1
34,17088,1,0,1,97,197,1
90,7772,1,0,1,81,186,1
2,0,0,1,0,17,91,1
32,24136,0,1,1,60,175,1
86,11517,1,0,1,75,177,1
74,19023,1,0,1,78,196,1
40,5783,1,0,0,88,199,1
17,2552,0,1,0,68,169,1
18,23486,1,0,1,65,181,1
16,32632,0,0,1,58,167,1
64,22497,0,0,1,67,184,1
30,16316,1,0,1,79,199,1
49,28741,1,0,1,81,191,1
28,33495,1,0,1,93,198,1
66,36797,0,0,0,66,187,1
92,21926,1,0,1,70,188,1
12,0,1,0,0,45,143,1
43,38271,0,0,1,73,175,1
1,0,1,0,0,13,78,1
25,10494,1,0,1,81,182,1
0,0,1,0,0,7,57,1
55,5288,0,0,1,70,175,1
7,0,1,0,0,29,116,1
61,34857,1,0,0,71,192,1
35,36523,0,0,0,78,188,1
72,37650,0,0,0,87,198,1
63,1160,1,0,0,71,183,1
92,23556,1,0,0,87,198,1
41,30491,0,0,0,82,199,1
92,4414,0,1,1,70,188,1
67,13092,0,0,1,63,175,1
54,19468,1,0,1,72,182,1
96,30180,0,1,0,78,197,1
93,10145,0,0,1,73,177,1
3,0,0,1,0,15,85,1
55,17392,0,0,0,89,198,1
79,27101,0,0,1,93,197,1
410,13128,0,1,1,69,193,0
58,22539,0,1,0,74,178,1
54,6120,1,0,0,61,175,1
4,0,1,0,0,27,107,1
2,0,1,0,0,16,89,1
28,26712,1,0,1,78,192,1
94,9138,1,0,0,85,199,1
92,16655,0,0,0,73,183,1
80,20738,0,1,0,68,180,1
53,25574,0,0,0,74,196,1
2,0,0,0,0,18,95,1
3,0,0,1,0,21,93,1
83,12107,0,1,1,85,192,1
11,0,0,0,0,41,137,1
20,9199,1,0,0,88,199,1
23,13256,1,0,0,76,198,1
53,33705,0,1,0,75,188,1
28,20079,1,0,0,67,184,1
70,37898,1,0,0,78,198,1
21,38714,0,1,1,83,197,1
75,12725,0,0,0,66,178,1
59,2938,0,0,0,72,196,1
93,29999,1,0,1,66,177,1
41,9298,0,0,1,82,199,1
64,12598,1,0,1,81,187,1
11,0,1,0,0,42,133,1
6,0,0,0,0,26,113,1
6,0,1,0,0,25,102,1
16,28423,0,0,1,67,165,1
91,12485,0,1,1,73,175,1
49,32867,0,0,0,79,180,1
88,33798,0,0,0,80,184,1
24,12938,0,1,0,63,180,1
27,12760,1,0,1,79,196,1
12,0,0,0,0,33,132,1
13,0,1,0,0,45,138,1
46,19550,0,1,0,86,192,1
97,9545,1,0,1,84,195,1
17,25643,0,0,1,71,172,1
38,8543,1,0,0,83,192,1
41,21277,0,1,0,96,197,1
41,2959,0,1,1,68,187,1
70,24596,0,1,1,74,188,1
0,0,1,0,0,6,53,1
38,17461,1,0,0,82,188,1
93,27097,0,1,0,89,199,1
49,12090,1,0,0,85,187,1
32,815,0,1,0,79,195,1
64,22114,0,0,0,70,192,1
24,13516,1,0,1,66,176,1
47,21434,0,0,0,66,177,1
73,33835,0,0,0,82,184,1
100,19,0,0,1,69,185,1
69,15802,1,0,1,78,196,1
51,9836,0,0,0,80,184,1
9,0,0,1,0,33,131,1
86,15992,0,1,1,75,191,1
73,10301,0,1,1,81,182,1
83,19235,0,1,0,84,190,1
96,39224,1,0,0,80,182,1
15,0,0,1,0,56,170,1
84,32967,1,0,0,68,186,1
3,0,0,0,0,19,91,1
99,10799,0,1,0,92,198,1
71,31194,1,0,0,78,199,1
100,18740,0,1,0,88,196,1
19,23140,1,0,0,76,176,1
49,34342,0,0,1,88,197,1
55,14460,0,1,1,78,184,1
268,30173,0,0,1,82,198,0
42,25638,0,1,0,76,175,1
37,28912,1,0,0,95,198,1
39,2709,1,0,0,78,179,1
51,21847,1,0,0,81,192,1
71,17315,0,1,1,77,188,1
57,3893,1,0,1,86,189,1
13,0,0,1,0,34,132,1
79,3341,1,0,1,89,195,1
22,9892,0,1,0,73,192,1
14,0,1,0,0,40,133,1
57,313,0,1,0,84,194,1
29,28336,0,1,0,73,190,1
18,27183,1,0,1,68,183,1
95,39977,0,0,0,80,194,1
70,39695,0,1,0,75,196,1
70,11969,1,0,1,83,195,1
6,0,0,0,0,26,111,1
100,2465,0,0,0,95,196,1
21,11179,1,0,0,79,190,1
95,16604,1,0,1,62,176,1
87,29910,1,0,0,79,183,1
18,18252,1,0,0,80,183,1
77,21173,1,0,1,66,184,1
45,29684,0,1,1,74,199,1
45,9193,0,0,0,78,178,1
67,28336,0,1,1,78,189,1
23,6098,0,1,1,78,189,1
30,14616,0,1,0,91,193,1
2,0,1,0,0,20,98,1
25,33816,0,0,0,82,184,1
5,0,0,1,0,22,109,1
90,36693,0,0,1,65,177,1
49,35834,1,0,1,79,187,1
23,19884,1,0,0,80,192,1
46,35323,0,0,1,82,187,1
19,27203,0,0,1,75,199,1
27,25721,1,0,0,85,196,1
30,4595,0,1,1,81,192,1
1,0,1,0,0,8,59,1
59,5958,0,0,0,77,193,1
70,35095,1,0,1,67,180,1
85,2116,1,0,1,58,177,1
9,0,0,0,0,34,126,1
94,889,0,1,1,78,185,1
73,26473,0,1,0,75,182,1
57,12680,1,0,0,70,177,1
51,28200,0,1,1,66,179,1
51,35534,0,0,1,96,196,1
46,25750,1,0,1,98,198,1
88,30074,0,0,0,62,183,1
77,12764,1,0,1,80,196,1
8,0,1,0,0,35,127,1
19,35587,0,0,1,75,193,1
65,35338,1,0,1,93,193,1
67,20666,0,1,1,81,183,1
44,23899,0,0,1,79,187,1
14,0,1,0,0,42,134,1
